──────────────────────────────────────────
OUTPUT SECTION 37 — COMPLETE GRANULAR OUTPUT REFERENCE TABLES
──────────────────────────────────────────
This section contains the granular, expanded output tables for each developer, breaking down their algorithms into the exact 1-to-1 data points they must produce. This serves as the definitive checklist for API integration.

### 37.1 Adnan's Granular Outputs (NLP & Writing)
| # | Algorithm | Function | Precise Output | Coverage |
|---|---|---|---|---|
| 1 | spaCy | Text Tokenization | `tokens[]`, `sentences[]` | Per Essay |
| 2 | spaCy | POS Analysis | `POS_tags[]` per token | Per Essay |
| 3 | spaCy | Dependency Parsing | `dep_parse` tree | Per Essay |
| 4 | TTR | Lexical Diversity | Value 0-1 | Per Essay |
| 5 | MTLD | Robust Lexical Diversity | Numeric Value | Per Essay |
| 6 | Cohesion Index | Textual Cohesion (Ratio: markers/words) | Value 0.01 - 0.43 | Per Essay |
| 7 | Academic Vocab | Academic Register | Value 0-1 | Per Essay |
| 8 | Error Density | Linguistic Error Tracking | Value 0-30 | Per Essay |
| 9 | Arg Markers | Argumentative Markers | Value 0-15 | Per Essay |
| 10 | Rubric Scoring | Detailed Grading | Grade 0-20 + Criteria Details | Per Essay |
| 11 | L1 Detection | Native Transfer Errors | `l1_errors[]` + count + source | Per Essay |
| 12 | TF-IDF | Frequency Vectorization | `vector` + `feature_names` | Per Essay |
| 13 | Cosine Similarity | Inter-text Similarity | `NxN matrix` + `top_3` | Per Essay |
| 14 | Sentence-BERT | Semantic Embedding | `vector[768]` | Per Essay |

### 37.2 Youcef's Granular Outputs (Behavior & Temporal)
| # | Algorithm | Function | Precise Output | Coverage |
|---|---|---|---|---|
| 1 | OLS Regression | Trend slope for `word_count` | `slope` + `trend_direction` | Per Student |
| 2 | OLS Regression | Trend slope for `error_density` | `slope` + `trend_direction` | Per Student |
| 3 | OLS Regression | Trend slope for `cohesion` | `slope` + `trend_direction` | Per Student |
| 4 | OLS Regression | Trend slope for `grade` | `slope` + `trend_direction` | Per Student |
| 5 | Percentile Norm | Percentile rank for features | `0-100 percentile` | Per Student |
| 6 | Mann-Whitney U | Compare high vs low risk groups | `U_stat` + `p_value` + `effect_size` | Per Feature |
| 7 | Spearman | Correlation between all features | `NxN correlation_matrix` | Global |
| 8 | Cohen's d | Effect size between groups | `d_value` + `interpretation` | Per Comparison |
| 9 | Agglomerative Clustering | Classify student into cluster | `cluster_id (0-3)` + `label` | Per Student |
| 10 | 18 Diagnostic Rules | Fire pedagogical rules | `triggered_rules[]` | Per Essay / Student |

### 37.3 Abdelkader's Granular Outputs (Moodle Activity)
| # | Algorithm | Function | Precise Output | Coverage |
|---|---|---|---|---|
| 1 | Robust Stats | Descriptive robust statistics | `median`, `IQR`, `MAD`, `percentiles` | Per Feature |
| 2 | Robust Z-Score | Outlier detection | `outlier_flags` (true/false) | Per Essay |
| 3 | Segment Session | Divide logs into sessions | `sessions[]` with details | Per Essay |
| 4 | PrefixSpan | Discover frequent patterns | `frequent_patterns[]` + `support` | Global |
| 5 | Rule: RUSH | Fast submission detection | `interpretation` + `flag` | Per Essay |
| 6 | Rule: DEEP_ENGAGE | Deep engagement detection | `interpretation` + `flag` | Per Essay |
| 7 | Rule: RUBRIC_AWARE | Rubric view tracking | `interpretation` + `flag` | Per Essay |
| 8 | Rule: FEEDBACK_LIT | Feedback review tracking | `interpretation` + `flag` | Per Essay |
| 9 | Rule: PASSIVE | Passive behavior detection | `interpretation` + `flag` | Per Essay |
| 10 | Rule: DEADLINE | Deadline pressure detection | `interpretation` + `flag` | Per Essay |
| 11 | Rule: INSUFF_PLAN | Insufficient planning tracking | `interpretation` + `flag` | Per Essay |
| 12 | K-S Test | Distribution normality test | `D_stat` + `p_value` + `dist_type` | Per Feature |
| 13 | PCA | Dimensionality reduction | `pc1, pc2, pc3` + `variance_ratio` | Per Essay |
| 14 | Scree Plot | Visualize PCA variance | PNG image | Global |

### 37.4 Final System Outputs (Integration Module)
| # | Output | Description / Value | Source / Module | Coverage |
|---|---|---|---|---|
| 1 | Final Grade | `final_grade` (0-20) from Fixed-Weight Fusion | Integration | Per Essay |
| 2 | Risk Band | `risk_band` (low/moderate/high) | Integration | Per Essay |
| 3 | Alert Level | `low/moderate/high` (evidence accumulation) | Integration | Per Essay |
| 4 | Diagnostic Report | `triggered_rules` + `competences` + `interpretations` | Integration | Per Essay |
| 5 | Competence Scores | 4 scores (0-100): `argument`/`cohesion`/`linguistic`/`revision` | Youcef | Per Student |
| 6 | Text Feedback | `feedback_text` + `grounding` + `hallucination` | Integration | Per Essay |
| 7 | Temporal Trajectory | 4 `trajectories` + `trends` | Youcef | Per Student |
| 8 | Cluster Assignment | `cluster_id` + `label` + `silhouette` | Youcef | Per Student |
| 9 | Class Analytics | `class_summary` + `group_feedback` | Integration | Per Assignment |
| 10 | Audit Trail | `pipeline_version` + `rules_evaluated` + `timestamps` | Integration | Per Essay |

