──────────────────────────────────────────
OUTPUT SECTION 18 — RULE MATCHING & TEMPLATE DISPATCH REGISTRY
──────────────────────────────────────────
This final operational table defines exactly how the "Learner State" (from Stage 4: Diagnosis) triggers Adnan's Intelligent Selector to output a deterministic `Template_ID` (Stage 6: Rule Matching), determining both the Feedback Focus and Priority level for the Teacher Dashboard.

| Rule ID | Learner State | Pedagogical Interpretation | Template ID | Recommended Feedback Focus | Intervention Mode | Priority |
|---------|---------------|----------------------------|-------------|----------------------------|-------------------|----------|
| **A1** | Forethought risk = High | Weak planning and low criteria awareness | `planning_scaffold` | Rubric walkthrough, outline modelling, staged drafting | Teacher-guided planning conference | High |
| **A2** | Forethought risk = Medium | Partial planning but inconsistent task preparation | `planning_prompt` | Guided planning support and micro-goal setting | Short Moodle prompt + target-setting | Medium |
| **B1** | Argumentation weakness = High | Weak claim-evidence-reasoning structure | `argument_scaffold` | Claim-evidence-explanation modelling | Model paragraph + targeted rewrite | High |
| **B2** | Argumentation weakness = Medium | Argument present but underdeveloped | `argument_expansion` | Guided expansion of reasoning and support | Teacher prompt + revision checklist | High |
| **B3** | Argumentation competence = High | Strong reasoning already present | `metacognitive_extension` | Advanced challenge such as counterargument integration | Extension task | Low |
| **B4** | Discourse competence = Low | Weak organization and poor cohesion | `cohesion_support` | Paragraph restructuring with a model paragraph | Mini-lesson or one-to-one support | High |
| **B5** | Discourse competence = Medium | Developing organization and cohesion | `organization_support` | Guided improvement of transitions and sequencing | Transition map and sequence revision | Medium |
| **B6** | Linguistic accuracy risk = High | Persistent grammar problems affecting clarity | `direct_corrective_feedback`| Mini grammar lesson on recurrent errors | Direct correction + focused exercise | High |
| **B7** | Linguistic accuracy risk = Medium | Partial grammatical control | `metalinguistic_feedback` | Guided correction with explanation of rule patterns | Metalinguistic prompt | Medium |
| **B8** | Linguistic control = High | Good grammatical control | `fluency_extension` | Advanced stylistic refinement | Academic style extension | Low |
| **B9** | Lexical competence = Low | Restricted vocabulary and weak academic register | `lexical_enrichment` | Academic vocabulary support and model expressions | Lexical bank + sentence frames | High |
| **B10**| Lexical competence = Medium | Developing lexical precision | `lexical_refinement` | Synonym training and lexical upgrading | Lexical refinement prompt | Medium |
| **C1** | Revision depth = Low | No revision or very superficial revision | `revision_prompt` | Guided revision checklist | Required revision plan before resubmission | High |
| **C2** | Revision depth = Medium | Partial revision but limited meaning-level change | `global_revision_feedback`| Teacher modelling of deeper/global revision | Global revision demonstration | Medium |
| **C3** | Revision depth = High | Effective revision behaviour | `metacognitive_feedback` | Reflection on successful revision strategies | Self-regulation reinforcement | Low |
| **C4** | Feedback uptake risk = High | Feedback viewed but not used | `feedback_decoding` | Feedback interpretation/decoding session | Teacher feedback-decoding conference | High |
| **C5** | Feedback uptake risk = Medium | Partial use of feedback | `feedforward_guidance` | Guided application of comments to next revision | Feed-forward planning prompt | Medium |
| **C6** | Feedback uptake = Strong | Feedback effectively internalized | `reinforcement_feedback` | Positive reinforcement and extension task | Autonomy-supportive extension | Low |
| **D1** | Engagement risk = High | Disengagement/low behavioural participation | `motivational_reengagement` | Teacher check-in, task clarification, simplified steps | Proactive re-engagement | High |
| **D2** | Learner profile = Engaged but developing | Strong effort but weak strategy use | `explicit_strategic_instruction`| Scaffolded session focused on structure and argument | Small-group strategy instruction | High |
| **D3** | Learner profile = Efficient but passive | Adequate product but unstable process regulation | `metacognitive_prompt` | Reflection support and light teacher monitoring | Metacognitive prompt | Medium |
| **D4** | Help-seeking regulation = Adaptive | Student monitors difficulty and seeks clarification | `dialogic_scaffolding` | Short clarification conference or micro-feedback | Dialogic micro-feedback | Medium |
| **D5** | Help-seeking risk = High | Weak performance with no clarification-seeking | `proactive_teacher_intervention`| Proactive intervention to surface hidden difficulties | Teacher check-in | High |
| **E1** | Predicted improvement = Low | High risk of limited progress without support | `intensive_support_plan` | Individualized support plan targeting weakest dimension | Individual support plan | High |
| **E2** | Predicted improvement = Medium/High| Good growth potential if support is focused | `targeted_development_feedback`| Focused support on weakest priority area | Targeted teacher feedback | Medium |
| **F1** | Argument competence probability = Developing | Developing but unstable argumentative competence | `argument_refinement` | Guided refinement of evidence integration | Focused argument refinement | Medium |

