──────────────────────────────────────────
OUTPUT SECTION 26 — DATA BLOCKS PEDAGOGICAL RATIONALE
──────────────────────────────────────────
This section provides the pedagogical and technical rationale for why each high-level data block is required in the system.

| Data Block | Exact Data Needed | Level of Input | Source | Why it is Needed | Used For |
|------------|-------------------|----------------|--------|------------------|----------|
| 1. Learner identifier | Anonymous student ID, group, feedback-loop number, task ID, draft number | Student × task × draft | Research dataset / Moodle export | Links all evidence without exposing student identity | Data integration, longitudinal tracking, privacy protection |
| 2. Task configuration | Task type, essay component, prompt, deadline, expected word count, rubric used, required structure | Task / feedback loop | Teacher-created Moodle task | Gives the system the pedagogical frame for interpreting whether the learner met task expectations | Threshold setting, task-sensitive feedback selection |
| 3. Analytic rubric scores | Criterion scores, preferably final paper dimensions: Claim, Evidence, Reasoning, Counterargument, Language Use. If using the fuller thesis rubric, include Content, Organization, Cohesion, Lexical Sophistication, Grammar, Argumentation | Student × draft | Teacher / raters | Converts qualitative writing performance into measurable diagnostic variables | Performance-based adaptation, Bayesian competence inference |
| 4. Overall writing score | Total score, mean criterion score, performance band: low/risk, moderate/watch, strong/satisfactory | Student × draft | Rubric scoring | Provides a global indicator of writing development but should not replace dimension-level diagnosis | Learner profiling, prediction, growth measurement |
| 5. Textual features | Word count, type-token ratio or lexical diversity, average sentence length, cohesion index, error density, number of academic connectors, possibly paragraph length | Draft | NLP / manual extraction / spaCy | Supplies linguistic and discourse-level evidence beyond teacher scores | Product analytics, Bayesian evidence nodes, feedback targeting |
| 6. Submission behaviour | Submission timestamp, deadline status, draft count, number of resubmissions, delay between drafts | Student × task | Moodle assignment logs | Shows writing-process engagement and whether the learner participates in iterative drafting | Engagement diagnosis, SRL indicators, risk detection |
| 7. Revision behaviour | Revision frequency, revision depth, text change percentage, surface vs meaning-level revision, improvement from Draft 1 to Draft 2 | Student × draft pair | Essay comparison / Moodle submissions | Captures whether feedback produced actual textual change | Self-regulated revision inference, feedback uptake evaluation |
| 8. Moodle engagement traces | Login/session count, assignment views, resource views, lesson views, activity completion, participation/progress-bar status | Student × week/task | Moodle logs | Indicates whether the learner accessed the learning environment and instructional resources | Engagement profiling, clustering |
| 9. Criteria-awareness indicators | Rubric views, self-assessment checklist views, task-instruction views | Student × task | Moodle logs | Shows whether learners consulted assessment criteria before or during writing | Feedback literacy, forethought/planning risk |
| 10. Time-on-task | Estimated active time on task, adjusted session duration, time spent on assignment page/resources | Student × task | Moodle logs, cleaned for inactivity | Approximates cognitive and behavioural engagement; raw login time should be cleaned because it may overestimate engagement | Behaviour-based adaptation, SRL monitoring |
| 11. Feedback engagement | Feedback views, number of times feedback was opened, time between feedback view and revision, whether feedback was followed by textual improvement | Student × feedback loop | Moodle logs + draft comparison | Distinguishes feedback exposure from feedback uptake | Feedback uptake rules, feed-forward decisions |
| 12. Help-seeking messages | Message count, timestamp, message category: feedback clarification, linguistic assistance, argument development, procedural clarification | Student × task | Moodle messages / coded messages | Captures metacognitive regulation and learner response to difficulty | Help-seeking rules, teacher intervention, dialogic support |
| 13. Absence of help-seeking during weak performance | Weak score plus zero relevant messages | Student × task | Rubric + Moodle messages | Important because silence during difficulty may indicate hidden confusion or avoidance, not independence | Risk flag, proactive teacher check-in |
| 14. Teacher feedback record | Feedback type delivered: direct corrective, indirect, strategic, metacognitive, dialogic, feed-forward | Student × task | Teacher dashboard / feedback log | The system must know what intervention was actually delivered before interpreting later improvement | Intervention history, adaptive loop continuity |
| 15. Rule selected by the system | Rule ID, triggered indicator, feedback template recommended, recommendation confidence or priority | Student × task | System-generated output | Makes the adaptive logic transparent and auditable | Human-in-the-loop validation |
| 16. Teacher validation decision | Approved, modified, delayed, rejected; reason for modification; individual vs group feedback | Student × task / profile group | Teacher dashboard | Preserves teacher agency and prevents the system from functioning as an autonomous decision-maker | Ethical HITL governance, methodological transparency |
| 17. Learner profile output | Strategic writer, engaged but developing writer, efficient but passive writer, at-risk writer | Student × loop | Clustering output | Summarizes patterns of engagement and writing performance | Profile-matched support, teacher-facing diagnosis |
| 18. Bayesian competence probabilities | Argument Structure Competence, Cohesion and Coherence Competence, Linguistic Complexity, Self-Regulated Revision; probability bands: low, medium, high | Student × loop | Bayesian model | Converts observed evidence into probabilistic diagnostic claims about latent writing development | Adaptive feedback selection, teacher review |
| 19. Predictive risk / improvement estimate | Predicted improvement band or risk level; not an autonomous grade | Student × loop | Random Forest or simpler predictive model | Helps identify who may need intensified support, but should remain advisory | Early-warning support, prioritisation |
| 20. Outcome after feedback loop | Next draft scores, score gains, dimension-level improvement, revision quality, post-loop reflection | Student × draft / loop | Rubric + portfolio/reflection | Shows whether the adaptive response produced observable development | Evaluation of feedback effectiveness and longitudinal growth |

