──────────────────────────────────────────
OUTPUT SECTION 17 — INDICATOR THRESHOLDS & PEDAGOGICAL MAPPING
──────────────────────────────────────────
Based on the explicit definitions provided in the client's matrix, the following table dictates exactly how continuous variables are discretized into Risk Bands (Stage 3: Thresholding) and mapped to Pedagogical Meaning.

| Indicator | Low/Risk | Moderate/Watch | Strong/Satisfactory | Transformation/Formula | Pedagogical Meaning | Primary Feedback Logic |
|-----------|----------|----------------|---------------------|------------------------|---------------------|------------------------|
| **Rubric criterion score** | 1 - 2 | 3 | 4 - 5 | Direct score | Clear weakness / developing control / relative mastery | Argument, language, or discourse support |
| **Overall rubric average** | < 2.5 | 2.5 - 3.49 | >= 3.5 | Mean of all rubric criteria | Global writing status | Learner profile and support intensity |
| **Word count** | Below task expectation | Near expectation | Meets/exceeds expectation | Compare Word_Count to Expected_Word_Count | Underdeveloped vs elaborated writing | Paragraph expansion or planning scaffold |
| **Error density (per 100 words)** | > 8 | 4 - 8 | < 4 | (Error_Count / Word_Count) * 100 | Form-level difficulty | Direct/metalinguistic language feedback |
| **Cohesion index** | < 2 | 2 - 3 | >= 4 | Cohesion markers per paragraph | Weak vs controlled discourse linking | Cohesion/organization support |
| **Rubric views** | 0 | 1 | >= 2 | Moodle log count | Low vs active criteria awareness | Planning scaffold / rubric walkthrough |
| **Active time-on-task** | < 15 min | 15 - 29 min | >= 30 min | Cleaned Moodle time estimate | Insufficient vs adequate composing engagement | Planning/time-management prompt |
| **Revision frequency** | 0 | 1 | >= 2 | Draft comparison count | No monitoring vs limited/sustained revision | Revision checklist or global revision support |
| **Feedback uptake** | Viewed but no revision | Viewed + minor revision | Viewed + substantive revision | Feedback view linked to draft change | Exposure vs actual use | Feedback decoding / feed-forward |
| **Help-seeking messages** | 0 when weak performance | Procedural only | Clarification/argument | Message count + coded category | Hidden difficulty vs adaptive help-seeking | Dialogic scaffolding or proactive check-in |

*Note on Execution: These mathematical boundaries (e.g., `< 15 min`, `> 8 errors`) are hard-coded constraints for the Feature Engineering Engine (Layer 2) to ensure the AI Branch and Rule Matching Engine (Layers 3 & 4) receive standardized categorical data.*

