──────────────────────────────────────────
OUTPUT SECTION 21 — FEEDBACK TEMPLATE LIBRARY (THE FINAL OUTPUT)
──────────────────────────────────────────
This final table dictates the exact text skeletons and pedagogical actions generated by the system once a `Template_ID` is triggered (Stage 6 -> Stage 7). This is the literal output shown to the student (Student_Facing_Skeleton) and the recommended action for the human (Teacher_Action).

| Template ID | Feedback Type | Cognitive Demand | Use When | Student_Facing_Skeleton | Teacher_Action |
|-------------|---------------|------------------|----------|-------------------------|----------------|
| `planning_scaffold` | Feed-up / planning | Moderate | Rubric views = 0 or time-on-task is low | Before revising, return to the rubric. Identify the required claim, evidence... | Walk through the rubric and ask learner to set one goal. |
| `planning_prompt` | Feed-up / planning | Moderate | Planning risk is medium | Set one micro-goal for this draft and check it against the rubric before... | Confirm the goal is realistic and task-specific. |
| `argument_scaffold` | Strategic feedback | High | Argument score is low | Rewrite the paragraph using Claim -> Evidence -> Explanation. Add two... | Provide model paragraph and require claim/evidence mapping. |
| `argument_expansion` | Strategic feedback | High | Argument is present but underdeveloped | Your argument is emerging. Expand the reasoning after the evidence and... | Ask for one evidence-explanation expansion. |
| `argument_refinement` | Strategic/metacognitive | High | Argument competence is medium | Refine the connection between your evidence and claim. Make the warrant... | Ask learner to annotate evidence-to-claim link. |
| `cohesion_support` | Process feedback | High | Cohesion index is low | Reorder the sentences so that each idea follows logically from the previous... | Model paragraph structure and transition use. |
| `organization_support`| Process feedback | Moderate | Cohesion/organization is moderate | Improve sequencing by placing the strongest reason first and using transitions... | Give transition map and sequencing prompt. |
| `direct_corrective_feedback` | Corrective feedback | Low/Moderate | Language risk is high | Correct the recurrent error pattern first, then reread the sentence for clarity... | Give a short mini-lesson on the dominant error type. |
| `metalinguistic_feedback` | Indirect/metalinguistic | Moderate | Language risk is medium | Locate the sentence-level problem and explain the rule before correcting... | Use guided correction rather than rewriting for them. |
| `lexical_enrichment` | Lexical feedback | Moderate | Academic register is weak | Replace vague or informal vocabulary with more precise academic expressions... | Provide controlled academic phrase bank. |
| `lexical_refinement` | Lexical feedback | Moderate | Lexical precision is developing | Choose the word that best matches the academic meaning, not only a synonym... | Prompt learner to justify lexical choice. |
| `revision_prompt` | Self-regulatory feedback | High | Revision frequency is 0 | Use the revision checklist. Make at least one meaning-level change, not just grammar... | Require revision plan before resubmission. |
| `global_revision_feedback` | Self-regulatory/process | High | Revision is partial | Revise the paragraph focus, evidence explanation, or organization before... | Model global revision using one paragraph. |
| `metacognitive_feedback` | Metacognitive feedback | Very high | Revision behaviour is strong | Explain what revision strategy worked and how you will apply it in the future... | Ask for short reflection on effective strategy. |
| `feedback_decoding` | Feedback literacy | High | Feedback was viewed but not used | Select one teacher comment and rewrite it as an action step for your revision... | Run feedback interpretation session. |
| `feedforward_guidance`| Feed-forward | High | Feedback use is partial | Apply the feedback to the next version by targeting one clear dimension... | Set next-draft action plan. |
| `reinforcement_feedback` | Reinforcement/extension | Moderate | Feedback uptake is strong | You used feedback effectively. Now extend the paragraph by adding connectors... | Assign extension challenge. |
| `dialogic_scaffolding`| Dialogic feedback | High | Learner asks meaningful clarification | Use the clarification to revise a specific sentence or paragraph section... | Provide brief one-to-one micro-feedback. |
| `metacognitive_prompt`| Metacognitive support | Very high | Weak performance and no help-seeking | Identify what confused you most, then ask one precise question before continuing... | Proactive teacher check-in. |
| `intensive_support_plan` | Intensive adaptive supp | High | Multiple high risks | Focus on one priority dimension, revise with a model, then submit a short piece... | Individual support plan. |
| `targeted_development_feedback` | Targeted formative feed | Moderate/High | Moderate improvement potential | Work on the weakest priority area first: do not revise everything at once... | Focused support on weakest dimension. |
| `metacognitive_extension` | Extension challenge | Very high | Strong performance | Add a counterargument, nuance, or more sophisticated academic stance... | Challenge task for advanced learner. |

